,Tweets,Date,len,Likes,RTweets
38,"Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me… https://t.co/Ntuy4BRXmJ",Fri Mar 02 11:07:40 +0000 2018,140,140442,28799
39,When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with… https://t.co/lPSkkolNRP,Fri Mar 02 10:50:34 +0000 2018,140,99832,22692
40,Good (Great) meeting in the Oval Office tonight with the NRA!,Fri Mar 02 03:04:51 +0000 2018,61,93270,17449
41,RT @IvankaTrump: My OpEd on the importance of #YouthSports participation and how this Administration is seeking to lift barriers so all our…,Fri Mar 02 02:59:37 +0000 2018,140,0,6182
42,RT @Scavino45: “Trump Comes Through — Saves $1.4 Billion On New Air Force One” https://t.co/cN3TAQywpR,Fri Mar 02 02:58:35 +0000 2018,102,0,10255
43,Manufacturing growing at the fastest pace in almost two decades!,Fri Mar 02 00:52:43 +0000 2018,64,75035,14716
44,Jobless claims at a 49 year low!,Fri Mar 02 00:51:28 +0000 2018,32,75353,15119
45,"Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to lo… https://t.co/7sw39LHddj",Thu Mar 01 21:31:32 +0000 2018,140,51114,11659
46,“Consumer Confidence in February Highest Since November 2000” https://t.co/UgAJRawExx,Thu Mar 01 20:40:52 +0000 2018,85,46492,10606
47,“Manufacturing in U.S. Expands at Fastest Pace Since May 2004” https://t.co/XZkwS8tTml,Thu Mar 01 18:26:55 +0000 2018,86,48091,11365
48,"Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA https://t.co/SzHTarzfrW",Thu Mar 01 18:06:30 +0000 2018,139,58713,15021
49,Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy w… https://t.co/OEgFJVYtCs,Thu Mar 01 12:12:42 +0000 2018,140,103266,22729
50,"Many ideas, some good &amp; some not so good, emerged from our bipartisan meeting on school safety yesterday at the Whi… https://t.co/aJ2m3fH3y3",Thu Mar 01 11:53:58 +0000 2018,144,79196,17408
51,It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As… https://t.co/EPB1EN3HRc,Wed Feb 28 21:34:16 +0000 2018,140,53244,11721
52,"Today we honor Billy Graham as only three private citizens before him have been honored. 

We say a prayer for our… https://t.co/CbrnqFwUuZ",Wed Feb 28 19:01:34 +0000 2018,139,72706,17318
53,"Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los A… https://t.co/rhhuOssGmf",Wed Feb 28 18:36:53 +0000 2018,140,66191,14342
54,"Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of t… https://t.co/1pVcsV0cam",Wed Feb 28 17:10:22 +0000 2018,140,74635,17607
55,Why is A.G. Jeff Sessions asking the Inspector General to investigate potentially massive FISA abuse. Will take for… https://t.co/3tKywTn98g,Wed Feb 28 14:34:37 +0000 2018,140,90035,25456
56,45 year low on illegal border crossings this year. Ice and Border Patrol Agents are doing a great job for our Count… https://t.co/Q6WZdxvUjS,Wed Feb 28 14:08:21 +0000 2018,140,111999,21056
57,I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is… https://t.co/Vz6U6uS0Za,Wed Feb 28 12:29:56 +0000 2018,139,101055,22392
58,"The Heritage Foundation has just stated that 64% of the Trump Agenda is already done, faster than even Ronald Reaga… https://t.co/MxsE3dtLnd",Wed Feb 28 12:02:58 +0000 2018,140,94343,23566
59,Big legal win today. U.S. judge sided with the Trump Administration and rejected the attempt to stop the government… https://t.co/zxoD3cKbaA,Wed Feb 28 04:28:31 +0000 2018,140,100649,23722
60,"Such a beautiful map, thank you! https://t.co/FyQdgKvsRO",Wed Feb 28 04:20:43 +0000 2018,56,71038,17019
61,.@SenatorWicker of Mississippi has been a great supporter and incredible help in getting our massive Tax Cut Bill d… https://t.co/NZAavAxY2F,Tue Feb 27 22:58:19 +0000 2018,140,50249,12146
